title,slug,oldCategory,newSection,newFormat,reason,state
"Opinion: Rebuttal of Marriott Student Review: ""Sexism at its Peak""","opinion-rebuttal-of-marriott-student-review-sexism-at-its-peak",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"The BYUnique Campaign to Preserve BYU","the-byunique-campaign-to-preserve-byu",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: The Political Arms Race and Why It Happens","opinion-the-political-arms-race-and-why-it-happens",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Where Will We Go?","where-will-we-go",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Review of Conservatism: A Rediscovery","review-of-conservatism-a-rediscovery",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"The Tragedy of The Rings of Power- The series fails to grasp what makes TolkienΓÇÖs work great.","the-tragedy-of-the-rings-of-power",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Are Latter-day Saints Really Pro-Life?","are-latter-day-saints-really-pro-life",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Looking Back, Why I Stood Up","looking-back-why-i-stood-up",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"AI: Virtue or Vice?","ai-virtue-or-vice",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Whose Land Is It Anyway?","whose-land-is-it-anyway",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Reclaiming the Family: The Quiet Collapse We CanΓÇÖt Ignore","reclaiming-the-family-the-quiet-collapse-we-can-t-ignore",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"The Hollowness of ΓÇÿFree ChoiceΓÇÖ: Why Modern Womanhood Needs Tradition","the-hollowness-of-free-choice-why-modern-womanhood-needs-tradition",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"BYUΓÇÖs Tempest-Tossed Men","byu-s-tempest-tossed-men",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"The Plague of Systemic Mediocrity","the-plague-of-systemic-mediocrity",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Defying The Spiral Of Silence","defying-the-spiral-of-silence",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"False Compromise: LiberalismΓÇÖs Broken Understanding of Religious Freedom","false-compromise-liberalism-s-broken-understanding-of-religious-freedom",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Authentic Propaganda","authentic-propaganda",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Embracing Our Particularity ΓÇô Against the ΓÇÿCivility TrapΓÇÖ","embracing-our-particularity-against-the-civility-trap",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"BYU Mission Alignment and Culture Wars","byu-mission-alignment-and-culture-wars",Opinion,print-edition,news,"has printEditionId",PUBLISHED
"Why Kirk's Assassin Deserves the Death Penalty","why-kirks-assassin-deserves-the-death-penalty",Opinion,news,news,"default campus/news desk",PUBLISHED
